#Differential number counts
#dn in each band is in units of N/deg^2/mJy
#S_bin_mid is the middle point of the fluz bin
#
#log10(S_bin_mid/mJy) dn_band6 dn_band7 dn_band8 dn_Scuba850
-2.875 101411831.80361766 17181788.644532613 3116784.2710390277 9085963.786518503
-2.625 78470050.1949992 45162645.61253464 11223856.911651362 30842652.386981938
-2.375 38614853.47874724 42699546.26604426 23221272.59257341 39683275.31500739
-2.125 17202309.357660007 22142587.80826853 22512410.092211187 23095005.415688667
-1.875 7193330.302144411 10094603.464317143 12066300.7964818 10731314.54076211
-1.625 2840193.663621871 4304008.889071425 5576763.816433506 4736553.554992507
-1.375 1237345.2736155975 1757419.2168121526 2467129.3015713254 1975139.3439932815
-1.125 517837.36396325956 740861.5886682929 1034005.8034663567 806899.9570923197
-0.875 148810.52509219848 332161.13655063766 433268.91469456186 358661.94362916227
-0.625 24724.894740114465 113080.66451896388 196212.11626834437 143685.49896618133
-0.375 2155.281555754263 25822.559864437313 75964.52321066505 37586.47106064115
-0.125 42.51792989116054 3043.591996503789 20070.408014535667 6041.9625645843635
0.125 4.927242041531763 111.03010710140192 3298.7799012925757 396.9395829669753
0.375 0.2962556746499298 4.882470025457328 211.517081763212 10.44828484079017
0.625 0.012815139129061728 0.48056771733981474 7.813570576380558 1.2954203912720674
0.875 0.0 0.021619446961005803 1.0076917378119161 0.0648583408830174
1.125 0.0 0.002026251408989078 0.06889254790562865 0.004052502817978156
1.375 0.0 0.0 0.002278889804999461 0.0
